Precursor index,classification, rSAM present,rSAM distance <2000,rSAM distance <1000,rSAM distance >5000,ansme evalue,ansme_score,ansme score >40,ansme score >100,sulfatase present,HexxH domain present,precuror retrieved by Wpr RRE,precursor length <70,precursor length <90,precursor length >110,precursor length >200,1 cys,2 cys,3+ cys,>2 cyclophane motifs,Number of cyclophane motifs,Percent Aromatic,Triceptide precursor hmms,precursor no hmm match,rgg/shp,synergy,common transporter,rsam hmm,Inferred gene,fimo motif 1, motif 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,number of motifs present, occurances of 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,rSAM distance,precursor length,core charge,precursor charge,last_third charge,abs(core charge),abs(precursor charge),abs(last third charge),CORE COUNT A,R,D,N,C,Q,E,G,H,I,L,K,M,F,P,S,T,W,Y,V,PERCENT A,R,D,N,C,Q,E,G,H,I,L,K,M,F,P,S,T,W,Y,V,aromatics,neg,pos,charged,aliphatic,hydroxyl,isoelectric point,PRECURSOR count A,R,D,N,C,Q,E,G,H,I,L,K,M,F,P,S,T,W,Y,V,PERCENT A,R,D,N,C,Q,E,G,H,I,L,K,M,F,P,S,T,W,Y,V,aromatics,neg,pos,charged,aliphatic,hydroxyl,isoelectric point,LAST THIRD COUNT A,R,D,N,C,Q,E,G,H,I,L,K,M,F,P,S,T,W,Y,V,PERCENT A,R,D,N,C,Q,E,G,H,I,L,K,M,F,P,S,T,W,Y,V,aromatics,neg,pos,charged,aliphatic,hydroxyl,isoelectric point
476,0,1,0,0,0,6.4e-36,35.19382002601611,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3191,136,-1,-5,-1,1,5,1,8,6,6,0,2,3,3,11,1,0,8,1,0,1,3,5,3,1,0,6,0.11764705882352941,0.088235294,0.088235294,0,0.029411764705882353,0.044117647,0.044117647,0.16176470588235295,0.014705882352941176,0,0.11764705882352941,0.014705882352941176,0,0.014705882352941176,0.044117647,0.073529412,0.044117647,0.014705882352941176,0,0.088235294,2,9,7,16,33,8,5.077620506,21,10,8,1,3,7,10,13,2,3,14,1,3,2,8,7,10,2,2,9,0.15441176470588236,0.073529412,0.058823529411764705,0.007352941,0.022058823529411766,0.051470588235294115,0.073529412,0.095588235,0.014705882352941176,0.022058823529411766,0.10294117647058823,0.007352941,0.022058823529411766,0.014705882352941176,0.058823529411764705,0.051470588235294115,0.073529412,0.014705882352941176,0.014705882352941176,0.066176471,6,18,11,29,63,17,4.702824211120604,6,5,4,0,1,3,1,8,1,0,6,1,0,0,1,3,2,1,0,2,0.13333333333333333,0.1111111111111111,0.088888889,0,0.022222222222222223,0.066666667,0.022222222222222223,0.17777777777777778,0.022222222222222223,0,0.13333333333333333,0.022222222222222223,0,0,0.022222222222222223,0.066666667,0.044444444444444446,0.022222222222222223,0,0.044444444444444446,1,5,6,11,22,5,8.202135276794433
477,0,1,0,0,0,6.4e-36,35.19382002601611,0,0,0,0,0,0,0,1,1,1,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2330,256,-8,-1,-8,8,1,8,11,9,9,1,1,2,11,9,1,8,7,2,4,3,11,4,9,0,8,18,0.0859375,0.0703125,0.0703125,0.0078125,0.0078125,0.015625,0.0859375,0.0703125,0.0078125,0.0625,0.0546875,0.015625,0.03125,0.0234375,0.0859375,0.03125,0.0703125,0,0.0625,0.140625,11,20,11,31,57,13,4.513550377,26,27,13,1,1,8,23,22,5,13,18,3,7,5,21,11,14,2,12,24,0.1015625,0.10546875,0.05078125,0.00390625,0.00390625,0.03125,0.08984375,0.0859375,0.01953125,0.05078125,0.0703125,0.01171875,0.02734375,0.01953125,0.08203125,0.04296875,0.0546875,0.0078125,0.046875,0.09375,19,36,30,66,110,25,5.527557945251464,11,6,5,0,1,2,6,6,1,7,5,2,2,0,6,2,6,0,5,12,0.12941176470588237,0.070588235,0.058823529411764705,0,0.011764705882352941,0.023529411764705882,0.070588235,0.070588235,0.011764705882352941,0.082352941,0.058823529411764705,0.023529411764705882,0.023529411764705882,0,0.070588235,0.023529411764705882,0.070588235,0,0.058823529411764705,0.1411764705882353,5,11,8,19,43,8,5.020838356018066
478,0,1,1,0,0,6.4e-36,35.19382002601611,0,0,0,0,0,0,1,0,0,0,1,0,1,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,81,-2,-11,-2,2,11,2,4,3,1,2,1,1,6,1,1,2,3,1,1,1,2,1,2,1,1,6,0.097560976,0.073170732,0.024390243902439025,0.048780488,0.024390243902439025,0.024390243902439025,0.14634146341463414,0.024390243902439025,0.024390243902439025,0.048780488,0.073170732,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.048780488,0.024390243902439025,0.048780488,0.024390243902439025,0.024390243902439025,0.14634146341463414,3,7,4,11,17,3,4.797915840148925,6,5,6,2,2,1,13,4,2,4,5,1,2,2,3,3,7,2,2,9,0.074074074,0.061728395,0.074074074,0.024691358024691357,0.024691358024691357,0.012345679012345678,0.16049382716049382,0.049382716,0.024691358024691357,0.049382716,0.061728395,0.012345679012345678,0.024691358024691357,0.024691358024691357,0.037037037037037035,0.037037037037037035,0.086419753,0.024691358024691357,0.024691358024691357,0.1111111111111111,6,19,6,25,30,10,4.195934104919433,2,3,1,0,1,1,5,0,1,1,0,1,1,1,2,0,2,0,0,5,0.074074074,0.1111111111111111,0.037037037037037035,0,0.037037037037037035,0.037037037037037035,0.18518518518518517,0,0.037037037037037035,0.037037037037037035,0,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.074074074,0,0.074074074,0,0,0.18518518518518517,1,6,4,10,9,2,5.057158470153809
479,0,1,1,0,0,6.4e-36,35.19382002601611,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1747,73,4,8,4,4,8,4,3,4,2,0,1,2,2,4,1,2,4,3,1,0,2,4,1,0,1,0,0.081081081,0.10810810810810811,0.054054054,0,0.027027027,0.054054054,0.054054054,0.10810810810810811,0.027027027,0.054054054,0.10810810810810811,0.081081081,0.027027027,0,0.054054054,0.10810810810810811,0.027027027,0,0.027027027,0,1,4,7,11,14,5,9.623340797424316,4,7,5,2,1,3,4,9,3,2,9,7,2,0,3,4,3,1,1,3,0.054794521,0.095890411,0.068493151,0.02739726,0.01369863,0.04109589,0.054794521,0.1232876712328767,0.04109589,0.02739726,0.1232876712328767,0.095890411,0.02739726,0,0.04109589,0.054794521,0.04109589,0.01369863,0.01369863,0.04109589,2,9,14,23,29,7,9.799984169006347,3,3,2,0,0,2,0,3,1,1,3,1,0,0,1,4,0,0,1,0,0.12,0.12,0.08,0,0,0.08,0,0.12,0.04,0.04,0.12,0.04,0,0,0.04,0.16,0,0,0.04,0,1,2,4,6,10,4,9.994291877746583
480,0,1,1,1,0,6.4e-36,35.19382002601611,0,0,0,0,0,0,0,1,1,0,0,1,1,11,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,932,240,8,-1,8,8,1,8,8,17,9,3,2,2,5,14,5,7,17,0,2,2,9,6,4,2,4,2,0.066666667,0.14166666666666666,0.075,0.025,0.016666666666666666,0.016666666666666666,0.041666666666666664,0.11666666666666667,0.041666666666666664,0.058333333333333334,0.14166666666666666,0,0.016666666666666666,0.016666666666666666,0.075,0.05,0.033333333,0.016666666666666666,0.033333333,0.016666666666666666,8,14,17,31,50,10,9.294487571716306,20,24,23,3,4,7,12,24,8,10,30,2,3,7,20,11,12,4,5,11,0.083333333,0.1,0.095833333,0.0125,0.016666666666666666,0.029166666666666667,0.05,0.1,0.033333333,0.041666666666666664,0.125,0.008333333,0.0125,0.029166666666666667,0.083333333,0.045833333,0.05,0.016666666666666666,0.020833333333333332,0.045833333,16,35,26,61,98,23,5.339250373840332,7,7,7,0,2,2,4,10,4,5,10,0,1,1,7,3,4,2,2,2,0.0875,0.0875,0.0875,0,0.025,0.025,0.05,0.125,0.05,0.0625,0.125,0,0.0125,0.0125,0.0875,0.0375,0.05,0.025,0.025,0.025,5,11,7,18,35,7,5.3595987319946286
481,0,1,1,1,0,6.4e-36,35.19382002601611,0,0,0,0,0,0,0,1,1,0,0,1,1,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,252,222,-4,-12,-4,4,12,4,17,11,13,1,3,4,5,8,1,3,13,2,1,5,1,7,5,0,2,9,0.15315315315315314,0.099099099,0.11711711711711711,0.009009009,0.027027027,0.036036036036036036,0.045045045,0.072072072,0.009009009,0.027027027,0.11711711711711711,0.018018018018018018,0.009009009,0.045045045,0.009009009,0.063063063,0.045045045,0,0.018018018018018018,0.081081081,7,18,13,31,51,12,4.726412391662596,22,20,22,4,5,5,16,16,1,5,32,5,5,7,2,17,16,1,4,17,0.099099099,0.09009009,0.099099099,0.018018018018018018,0.022522523,0.022522523,0.072072072,0.072072072,0.004504505,0.022522523,0.14414414414414414,0.022522523,0.022522523,0.031531532,0.009009009,0.076576577,0.072072072,0.004504505,0.018018018018018018,0.076576577,12,38,25,63,97,33,4.572776603698731,12,6,11,1,1,4,3,7,1,2,8,2,1,2,0,3,3,0,1,6,0.16216216216216217,0.081081081,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.054054054,0.040540541,0.094594595,0.013513513513513514,0.027027027,0.10810810810810811,0.027027027,0.013513513513513514,0.027027027,0,0.040540541,0.040540541,0,0.013513513513513514,0.081081081,3,14,8,22,36,6,4.410501289367676
482,0,1,1,1,0,6.4e-36,35.19382002601611,0,0,0,0,0,0,0,1,0,1,0,0,1,4,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,111,-1,1,-1,1,1,1,4,3,1,0,0,5,4,5,1,1,5,0,0,1,6,4,6,2,2,6,0.071428571,0.053571429,0.017857142857142856,0,0,0.089285714,0.071428571,0.089285714,0.017857142857142856,0.017857142857142856,0.089285714,0,0,0.017857142857142856,0.10714285714285714,0.071428571,0.10714285714285714,0.035714286,0.035714286,0.10714285714285714,5,5,3,8,21,10,4.960589027404784,11,5,2,2,1,7,8,9,4,2,11,2,3,5,11,5,9,2,2,10,0.099099099,0.045045045,0.018018018018018018,0.018018018018018018,0.009009009,0.063063063,0.072072072,0.081081081,0.036036036036036036,0.018018018018018018,0.099099099,0.018018018018018018,0.027027027,0.045045045,0.099099099,0.045045045,0.081081081,0.018018018018018018,0.018018018018018018,0.09009009,9,10,7,17,46,14,5.715979194641113,3,2,1,0,0,5,1,3,1,0,4,0,0,1,5,3,0,2,2,4,0.081081081,0.054054054,0.027027027,0,0,0.13513513513513514,0.027027027,0.081081081,0.027027027,0,0.10810810810810811,0,0,0.027027027,0.13513513513513514,0.081081081,0,0.054054054,0.054054054,0.10810810810810811,5,2,2,4,14,3,6.751130867004395
483,0,1,1,1,0,6.4e-36,35.19382002601611,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,421,81,6,8,6,6,8,6,10,7,0,1,0,0,4,3,2,2,3,1,0,0,2,1,1,1,0,3,0.24390243902439024,0.17073170731707318,0,0.024390243902439025,0,0,0.097560976,0.073170732,0.048780488,0.048780488,0.073170732,0.024390243902439025,0,0,0.048780488,0.024390243902439025,0.024390243902439025,0.024390243902439025,0,0.073170732,1,4,8,12,21,2,11.609353828430176,16,12,4,1,0,3,5,5,3,2,8,2,1,0,8,2,2,1,0,6,0.19753086419753085,0.14814814814814814,0.049382716,0.012345679012345678,0,0.037037037037037035,0.061728395,0.061728395,0.037037037037037035,0.024691358024691357,0.098765432,0.024691358024691357,0.012345679012345678,0,0.098765432,0.024691358024691357,0.024691358024691357,0.012345679012345678,0,0.074074074,1,9,14,23,38,4,11.324210166931152,7,5,0,0,0,0,2,3,2,1,2,0,0,0,1,0,1,1,0,2,0.25925925925925924,0.18518518518518517,0,0,0,0,0.074074074,0.1111111111111111,0.074074074,0.037037037037037035,0.074074074,0,0,0,0.037037037037037035,0,0.037037037037037035,0.037037037037037035,0,0.074074074,1,2,5,7,15,1,11.824033546447755
484,0,1,0,0,0,6.4e-36,35.19382002601611,0,0,0,0,0,0,0,1,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2156,179,1,-2,1,1,2,1,12,9,4,1,1,1,9,9,2,4,9,3,1,0,7,1,2,2,4,9,0.13333333333333333,0.1,0.044444444444444446,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.1,0.1,0.022222222222222223,0.044444444444444446,0.1,0.033333333,0.011111111111111112,0,0.077777778,0.011111111111111112,0.022222222222222223,0.022222222222222223,0.044444444444444446,0.1,6,13,12,25,44,3,6.155174064636229,25,16,10,2,1,3,15,21,3,5,16,4,3,6,14,3,7,4,7,14,0.13966480446927373,0.089385475,0.055865921787709494,0.011173184,0.005586592,0.016759777,0.083798883,0.11731843575418995,0.016759777,0.027932960893854747,0.089385475,0.022346369,0.016759777,0.033519553,0.078212291,0.016759777,0.039106145,0.022346369,0.039106145,0.078212291,17,25,20,45,84,10,5.278205299,8,8,3,0,1,0,6,4,2,2,7,1,1,0,5,1,2,2,2,5,0.13333333333333333,0.13333333333333333,0.05,0,0.016666666666666666,0,0.1,0.066666667,0.033333333,0.033333333,0.11666666666666667,0.016666666666666666,0.016666666666666666,0,0.083333333,0.016666666666666666,0.033333333,0.033333333,0.033333333,0.083333333,4,9,9,18,27,3,6.933186149597168
485,0,1,0,0,0,6.4e-36,35.19382002601611,0,0,0,0,0,1,1,0,0,0,0,0,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2825,56,1,0,1,1,0,1,1,3,1,0,0,1,2,3,0,0,5,1,0,0,3,0,0,2,2,4,0.035714286,0.10714285714285714,0.035714286,0,0,0.035714286,0.071428571,0.10714285714285714,0,0,0.17857142857142858,0.035714286,0,0,0.10714285714285714,0,0,0.071428571,0.071428571,0.14285714285714285,4,3,4,7,13,0,8.466584587,6,5,3,0,0,2,4,7,0,3,7,2,1,0,4,1,0,4,2,5,0.10714285714285714,0.089285714,0.053571429,0,0,0.035714286,0.071428571,0.125,0,0.053571429,0.125,0.035714286,0.017857142857142856,0,0.071428571,0.017857142857142856,0,0.071428571,0.035714286,0.089285714,6,7,7,14,29,1,6.109248161315917,1,3,1,0,0,1,1,2,0,0,3,1,0,0,1,0,0,2,2,1,0.052631579,0.15789473684210525,0.052631579,0,0,0.052631579,0.052631579,0.10526315789473684,0,0,0.15789473684210525,0.052631579,0,0,0.052631579,0,0,0.10526315789473684,0.10526315789473684,0.052631579,4,2,4,6,7,0,9.693482398986816
486,0,1,0,0,0,6.4e-36,35.19382002601611,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3053,133,-3,-1,-3,3,1,3,7,10,6,1,0,1,8,6,1,4,4,0,1,1,4,2,3,0,0,8,0.1044776119402985,0.14925373134328357,0.089552239,0.014925373134328358,0,0.014925373134328358,0.11940298507462686,0.089552239,0.014925373134328358,0.059701493,0.059701493,0,0.014925373134328358,0.014925373134328358,0.059701493,0.029850746268656716,0.044776119,0,0,0.11940298507462686,1,14,10,24,30,5,4.911821174621582,12,19,9,2,0,6,12,12,1,9,10,0,5,1,8,4,9,0,3,11,0.090225564,0.14285714285714285,0.067669173,0.015037593984962405,0,0.045112781954887216,0.090225564,0.090225564,0.007518797,0.067669173,0.07518797,0,0.037593985,0.007518797,0.060150376,0.030075188,0.067669173,0,0.022556390977443608,0.082706767,4,21,19,40,59,13,5.533014488220213,4,5,3,1,0,1,6,4,0,3,4,0,1,1,4,1,2,0,0,4,0.090909091,0.11363636363636363,0.068181818,0.022727272727272728,0,0.022727272727272728,0.13636363636363635,0.090909091,0,0.068181818,0.090909091,0,0.022727272727272728,0.022727272727272728,0.090909091,0.022727272727272728,0.045454545454545456,0,0,0.090909091,1,9,5,14,20,3,4.526452827453612
487,0,1,0,0,0,6.4e-36,35.19382002601611,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3927,137,-1,-1,-1,1,1,1,8,9,4,0,0,0,6,5,0,2,4,0,0,1,11,7,7,0,0,5,0.11594202898550725,0.13043478260869565,0.057971014492753624,0,0,0,0.086956522,0.072463768,0,0.028985507246376812,0.057971014492753624,0,0,0.014492753623188406,0.15942028985507245,0.10144927536231885,0.10144927536231885,0,0,0.072463768,1,10,9,19,24,14,5.376082038879395,28,15,5,0,1,1,11,9,0,4,12,0,1,1,13,11,11,1,0,13,0.20437956204379562,0.10948905109489052,0.03649635,0,0.00729927,0.00729927,0.080291971,0.065693431,0,0.029197080291970802,0.087591241,0,0.00729927,0.00729927,0.094890511,0.080291971,0.080291971,0.00729927,0,0.094890511,2,16,15,31,67,22,5.577519416809081,6,5,3,0,0,0,5,4,0,0,3,0,0,0,8,6,3,0,0,3,0.13043478260869565,0.10869565217391304,0.065217391,0,0,0,0.10869565217391304,0.086956522,0,0,0.065217391,0,0,0,0.17391304347826086,0.13043478260869565,0.065217391,0,0,0.065217391,0,8,5,13,16,9,4.671392250061035
488,0,1,0,0,0,1.4e-37,36.85387196432176,0,0,0,0,0,0,0,1,0,0,0,1,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4560,184,16,27,16,16,27,16,20,20,4,0,1,2,2,7,2,1,11,0,0,3,4,6,2,1,1,5,0.21739130434782608,0.21739130434782608,0.043478260869565216,0,0.010869565217391304,0.021739130434782608,0.021739130434782608,0.076086957,0.021739130434782608,0.010869565217391304,0.11956521739130435,0,0,0.032608696,0.043478260869565216,0.065217391,0.021739130434782608,0.010869565217391304,0.010869565217391304,0.054347826,5,6,20,26,44,8,11.999967765808105,29,34,8,0,3,4,4,17,4,1,26,1,2,3,14,9,5,1,6,13,0.15760869565217392,0.18478260869565216,0.043478260869565216,0,0.016304347826086956,0.021739130434782608,0.021739130434782608,0.092391304,0.021739130434782608,0.005434783,0.14130434782608695,0.005434783,0.010869565217391304,0.016304347826086956,0.076086957,0.048913043,0.027173913,0.005434783,0.032608696,0.070652174,10,12,35,47,88,14,11.743963813781736,13,14,2,0,1,1,1,6,1,1,6,0,0,2,2,6,1,0,1,3,0.21311475409836064,0.22950819672131148,0.032786885,0,0.016393443,0.016393443,0.016393443,0.098360656,0.016393443,0.016393443,0.098360656,0,0,0.032786885,0.032786885,0.098360656,0.016393443,0,0.016393443,0.049180328,3,3,14,17,29,7,11.999967765808105
489,0,1,0,0,0,1.4e-37,36.85387196432176,0,0,0,0,0,0,0,1,0,1,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3040,129,-6,3,-6,6,3,6,9,4,6,0,1,1,6,9,2,1,8,0,1,2,3,3,2,3,2,2,0.13846153846153847,0.061538462,0.092307692,0,0.015384615384615385,0.015384615384615385,0.092307692,0.13846153846153847,0.030769231,0.015384615384615385,0.12307692307692308,0,0.015384615384615385,0.030769231,0.046153846153846156,0.046153846153846156,0.030769231,0.046153846153846156,0.030769231,0.030769231,7,12,4,16,30,5,4.268346977233888,18,17,10,1,1,3,7,18,2,1,14,1,3,4,10,3,5,4,3,4,0.13953488372093023,0.13178294573643412,0.07751938,0.007751938,0.007751938,0.023255813953488372,0.054263566,0.13953488372093023,0.015503875968992248,0.007751938,0.10852713178294573,0.007751938,0.023255813953488372,0.031007751937984496,0.07751938,0.023255813953488372,0.03875969,0.031007751937984496,0.023255813953488372,0.031007751937984496,11,17,18,35,58,8,7.963215446472168,8,3,2,0,1,1,4,3,1,1,8,0,0,1,2,2,1,1,2,2,0.18604651162790697,0.069767442,0.046511627906976744,0,0.023255813953488372,0.023255813953488372,0.093023256,0.069767442,0.023255813953488372,0.023255813953488372,0.18604651162790697,0,0,0.023255813953488372,0.046511627906976744,0.046511627906976744,0.023255813953488372,0.023255813953488372,0.046511627906976744,0.046511627906976744,4,6,3,9,22,3,4.642631721496582
490,0,1,0,0,0,1.4e-37,36.85387196432176,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2429,150,1,-3,1,1,3,1,11,4,1,1,1,1,6,11,2,1,9,2,1,1,3,6,2,0,0,12,0.14666666666666667,0.053333333,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.08,0.14666666666666667,0.026666667,0.013333333333333334,0.12,0.026666667,0.013333333333333334,0.013333333333333334,0.04,0.08,0.026666667,0,0,0.16,1,7,6,13,45,8,6.103621101379393,26,6,4,4,1,2,11,18,2,3,12,4,2,3,8,12,5,3,3,21,0.17333333333333334,0.04,0.026666667,0.026666667,0.006666667,0.013333333333333334,0.073333333,0.12,0.013333333333333334,0.02,0.08,0.026666667,0.013333333333333334,0.02,0.053333333,0.08,0.033333333,0.02,0.02,0.14,9,15,10,25,82,17,4.997136497497558,7,3,0,0,1,0,4,8,2,0,7,1,0,1,2,5,1,0,0,8,0.14,0.06,0,0,0.02,0,0.08,0.16,0.04,0,0.14,0.02,0,0.02,0.04,0.1,0.02,0,0,0.16,1,4,4,8,30,6,7.01861515
491,0,1,1,0,0,1.4e-37,36.85387196432176,0,0,0,0,0,0,0,1,1,0,0,1,1,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1537,282,12,20,12,12,20,12,13,18,5,4,5,4,6,17,4,3,11,1,1,2,17,2,9,3,4,12,0.092198582,0.1276595744680851,0.035460993,0.028368794326241134,0.035460993,0.028368794326241134,0.042553191,0.12056737588652482,0.028368794326241134,0.021276596,0.078014184,0.007092199,0.007092199,0.014184397163120567,0.12056737588652482,0.014184397163120567,0.063829787,0.021276596,0.028368794326241134,0.085106383,9,11,19,30,57,11,9.948390388488768,25,38,13,4,5,6,16,33,9,5,30,2,2,2,28,4,19,7,8,26,0.088652482,0.1347517730496454,0.046099291,0.014184397163120567,0.017730496,0.021276596,0.056737589,0.11702127659574468,0.031914893617021274,0.017730496,0.10638297872340426,0.007092199,0.007092199,0.007092199,0.09929078,0.014184397163120567,0.067375887,0.024822695035460994,0.028368794326241134,0.092198582,17,29,40,69,121,23,10.010602378845213,8,16,4,1,4,3,2,12,2,1,3,1,1,1,13,2,7,2,3,8,0.085106383,0.1702127659574468,0.042553191,0.010638297872340425,0.042553191,0.031914893617021274,0.021276596,0.1276595744680851,0.021276596,0.010638297872340425,0.031914893617021274,0.010638297872340425,0.010638297872340425,0.010638297872340425,0.13829787234042554,0.021276596,0.074468085,0.021276596,0.031914893617021274,0.085106383,6,6,17,23,33,9,11.215065193176269
492,0,1,1,1,0,1.4e-37,36.85387196432176,0,0,0,0,0,0,0,1,1,0,0,1,1,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,320,228,-6,-5,-6,6,5,6,13,8,12,6,4,4,5,9,1,3,14,2,0,7,2,1,9,0,4,10,0.11403508771929824,0.070175439,0.10526315789473684,0.052631579,0.035087719,0.035087719,0.043859649122807015,0.078947368,0.00877193,0.026315789,0.12280701754385964,0.017543859649122806,0,0.061403509,0.017543859649122806,0.00877193,0.078947368,0,0.035087719,0.087719298,11,17,10,27,49,10,4.449890709,17,18,22,12,5,9,8,17,3,8,22,4,2,11,8,10,22,1,7,22,0.074561404,0.078947368,0.096491228,0.052631579,0.021929824561403508,0.039473684210526314,0.035087719,0.074561404,0.013157894736842105,0.035087719,0.096491228,0.017543859649122806,0.00877193,0.048245614,0.035087719,0.043859649122807015,0.096491228,0.004385965,0.030701754,0.096491228,19,30,22,52,88,32,4.861859703063964,10,5,9,4,2,3,3,7,1,2,10,2,0,2,2,1,5,0,3,5,0.13157894736842105,0.065789474,0.11842105263157894,0.052631579,0.026315789,0.039473684210526314,0.039473684210526314,0.092105263,0.013157894736842105,0.026315789,0.13157894736842105,0.026315789,0,0.026315789,0.026315789,0.013157894736842105,0.065789474,0,0.039473684210526314,0.065789474,5,12,7,19,34,6,4.473422050476074
